slno,Date,HS Code,Product Description,Consignee Name,Shipper Name,Consignee Address 1 ,Consignee Address 2,Shipper Address1 ,Shipper Address 2 ,Standard Qty,Standard Unit,Standard Unit Rate $,Tax %,Estimated CIF Value $,Unit Rate $,Port of Destination,Country of Origin,QTY,Unit,Rate In FC,Rate Currency,Tax $,Landed Value $,Month,HS2,HS4,Consignee City,Consignee Pincode,Consignee State,Consignee Phone,Consignee E-mail,Contact Person,Shipper City,Shipper Country,Notify Party,BL TYP,Shipment Mode,Port Of Origin,HS Description,Raw Consignee Name,Raw Shipper Name,Raw Consignee Add1,Raw Consignee Add2,Raw Shipper Address1,Raw Shipper Address2,Raw Consignee City,Raw Consignee Pincode,Raw Consignee State,Raw Consignee Phone,Raw Consignee E-mail,Record Id
10,01-06-2023,85258900,M320 IVCIII CAMERA - 4K 10449087  SPARE PARTS / ACCESSORIES / COMPONENT  FOR SURGICALMICROSCOPE ,DHR HOLDING INDIA PRIVATE LIMITED,LEICA MIKROSYSTEME VERTRIEB GMBH -DSA,"UNIT NO 325 TO 328 DLF TOWERS,SHIV AJI MARG",NA,ERNST-LEITZ-STRASSE 17-3735578 WETZLAR / DUETSCHLAND  DE,NA,1,NOS,2101.58,30.97999721,2101.58,2101.58,Jnpt,Singapore,1,PCS,1928.67,EUR,639.33,2740.91,Jun-2023,85,8525,DELHI,110015,DELHI,NA,amit.jain@danaher.com,JAI SHANKAR KRISHNAN               ,NA,NA,NA,HC,Sea,Not Available,"Transmission apparatus for radio-telephony, radio-telegraph, radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; Television cameras; still-mage video cameras and other video camer",DHR HOLDING INDIA PRIVATE LIMITED,LEICA MIKROSYSTEME VERTRIEB GMBH -DSA,"UNIT NO 325 TO 328 DLF TOWERS,SHIV AJI MARG",NA,ERNST-LEITZ-STRASSE 17-3735578 WETZLAR ,NA,DELHI,110015,DELHI,NA,amit.jain@danaher.com,41162928
11,01-06-2023,85258900,M320 IVCIII CAMERA - 4K 10449087  SPARE PARTS / ACCESSORIES / COMPONENT  FOR SURGICALMICROSCOPE ,DHR HOLDING INDIA PRIVATE LIMITED,LEICA MIKROSYSTEME VERTRIEB GMBH -DSA,"UNIT NO 325 TO 328 DLF TOWERS,SHIV AJI MARG",NA,ERNST-LEITZ-STRASSE 17-3735578 WETZLAR / DUETSCHLAND  DE,NA,1,NOS,2101.58,30.97999721,2101.58,2101.58,Jnpt,Singapore,1,PCS,1928.67,EUR,639.33,2740.91,Jun-2023,85,8525,DELHI,110015,DELHI,NA,amit.jain@danaher.com,JAI SHANKAR KRISHNAN               ,NA,NA,NA,HC,Sea,Not Available,"Transmission apparatus for radio-telephony, radio-telegraph, radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; Television cameras; still-mage video cameras and other video camer",DHR HOLDING INDIA PRIVATE LIMITED,LEICA MIKROSYSTEME VERTRIEB GMBH -DSA,"UNIT NO 325 TO 328 DLF TOWERS,SHIV AJI MARG",NA,ERNST-LEITZ-STRASSE 17-3735578 WETZLAR ,NA,DELHI,110015,DELHI,NA,amit.jain@danaher.com,41412234
12,02-06-2023,85258900,"6022C001AA CANON REMOTE CAMERA CR-N700 BKNOT FOR SALE, FOR DEMO PURPOSE ONLY ",CANON INDIA PRIVATE LIMITED,CANON SINGAPORE PTE LTD,"UNIT NO. 214-218 2ND FLR,NARAIN MA NZIL, B.K. ROAD, C.P.",NA,"(SUPPLY CHAIN MGMT DIVISION) 1,FUSIONOPOLIS PLACE, #15-10 GALAXIS, Singapore - 138522, SINGAPORE, Singapo  Singapore",NA,1,NOS,4970.79,43.96001211,4970.79,4970.79,Delhi Air,Japan,1,NOS,409270,INR,2185.16,7155.95,Jun-2023,85,8525,Delhi,110001,DELHI,919990253928,ciplinbound@canon.co.in,KAZUTADA KOBAYASHI                 ,NA,NA,NA,HC,Air,Not Available,"Transmission apparatus for radio-telephony, radio-telegraph, radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; Television cameras; still-mage video cameras and other video camer",CANON INDIA PRIVATE LIMITED,CANON SINGAPORE PTE LTD,"UNIT NO. 214-218 2ND FLR,NARAIN MA NZIL, B.K. ROAD, C.P.",NA,"(SUPPLY CHAIN MGMT DIVISION) 1,FUSIONOPOLIS PLACE, #15-10 GALAXIS, Singapore - 138522, SINGAPORE, Singapo  Singapore",NA,Delhi,110001,DELHI,919990253928,ciplinbound@canon.co.in,40330713
13,03-06-2023,85258900,FLEXACAM C3 CAMERA 12730533 [ SPARE PARTS / ACCESSORIES / COMPONENT  FOR MICROSCOPE] ,DHR HOLDING INDIA PRIVATE LIMITED,LEICA MIKROSYSTEME VERTRIEB GMBH -DSA,"UNIT NO 325 TO 328 DLF TOWERS,SHIV AJI MARG",NA,ERNST-LEITZ-STRASSE 17-3735578 WETZLAR / DUETSCHLAND  DE,NA,1,NOS,1499.61,30.98003952,1499.61,1499.61,Bombay Air,Germany,1,NOS,1378.8,EUR,456.2,1955.81,Jun-2023,85,8525,DELHI,110015,DELHI,NA,amit.jain@danaher.com,JAI SHANKAR KRISHNAN               ,NA,NA,NA,HC,Air,Not Available,"Transmission apparatus for radio-telephony, radio-telegraph, radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; Television cameras; still-mage video cameras and other video camer",DHR HOLDING INDIA PRIVATE LIMITED,LEICA MIKROSYSTEME VERTRIEB GMBH -DSA,"UNIT NO 325 TO 328 DLF TOWERS,SHIV AJI MARG",NA,ERNST-LEITZ-STRABE 17-37 35578 WETZLAR  GERMANY,NA,DELHI,110015,DELHI,NA,amit.jain@danaher.com,41415897
14,03-06-2023,85258900,LEICA K3M 11547113 [ SPARE PARTS / ACCESSORIES / COMPONENT  FOR MICROSCOPE] ,DHR HOLDING INDIA PRIVATE LIMITED,LEICA MIKROSYSTEME VERTRIEB GMBH -DSA,"UNIT NO 325 TO 328 DLF TOWERS,SHIV AJI MARG",NA,ERNST-LEITZ-STRASSE 17-3735578 WETZLAR / DUETSCHLAND  DE,NA,1,NOS,2188.28,30.97998267,2188.28,2188.28,Bombay Air,Germany,1,NOS,2002.5,EUR,665.7,2853.98,Jun-2023,85,8525,DELHI,110015,DELHI,NA,amit.jain@danaher.com,JAI SHANKAR KRISHNAN               ,NA,NA,NA,HC,Air,Not Available,"Transmission apparatus for radio-telephony, radio-telegraph, radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; Television cameras; still-mage video cameras and other video camer",DHR HOLDING INDIA PRIVATE LIMITED,LEICA MIKROSYSTEME VERTRIEB GMBH -DSA,"UNIT NO 325 TO 328 DLF TOWERS,SHIV AJI MARG",NA,ERNST-LEITZ-STRABE 17-37 35578 WETZLAR  GERMANY,NA,DELHI,110015,DELHI,NA,amit.jain@danaher.com,41525557
15,03-06-2023,90021100,REAR CAP LENS FBB00036846-100  SPARE PARTS / ACCESSORIES / COMPONENT  FOR DIGITAL CAMERA ,FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOME MINATO-KUTOKYO 106-8620, JAPAN ",NA,20,NOS,0.903,30.98287121,18.05,0.9,Delhi Air,Japan,20,NOS,0.86,USD,5.59,23.64,Jun-2023,90,9002,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,MASAKI  ZENKO,NA,NA,NA,HC,Air,Not Available,"LENSES, PRISMS, MIRRORS AND OTHER OPTICAL ELEMENTS, OF ANY MATERIAL, MOUNTED, BEING PARTS OF OR FITTINGS FOR INSTRUMENTS OR APPARATUS, OTHER THAN SUCH ELEMENTS OF GLASS NOT OPTICALLY WORKED",FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOME MINATO-KUTOKYO 106 - 8620 TOKYO   ",NA,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,41280636
16,05-06-2023,85258900,16643036 FUJIFILM DIGITAL CAMERA X100V BLACK ETA SD-20200100418 BIS R-41202487 ,FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOME MINATO-KUTOKYO 106-8620, JAPAN ",NA,4,NOS,690.93,18.00001455,2763.72,690.93,Bombay Air,Japan,4,NOS,57298,INR,488.5,3252.22,Jun-2023,85,8525,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,MASAKI  ZENKO,NA,NA,NA,HC,Air,Not Available,"Transmission apparatus for radio-telephony, radio-telegraph, radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; Television cameras; still-mage video cameras and other video camer",FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30,NISHIAZABU 2-CHOME MINATO-KUTOKYO 106-8620 JAPAN  JAPAN",NA,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,40549053
17,05-06-2023,85258900,16642965 FUJIFILM DIGITAL CAMERA X100V SILVER ETA SD-20200100418 BIS R-41202487 ,FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOME MINATO-KUTOKYO 106-8620, JAPAN ",NA,2,NOS,690.93,18.00001455,1381.86,690.93,Bombay Air,Japan,2,NOS,57298,INR,244.25,1626.11,Jun-2023,85,8525,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,MASAKI  ZENKO,NA,NA,NA,HC,Air,Not Available,"Transmission apparatus for radio-telephony, radio-telegraph, radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; Television cameras; still-mage video cameras and other video camer",FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30,NISHIAZABU 2-CHOME MINATO-KUTOKYO 106-8620 JAPAN  JAPAN",NA,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,40549054
18,05-06-2023,85258900,16643036 FUJIFILM DIGITAL CAMERA X100V BLACK ETA SD-20200100418 BIS R-41202487 ,FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOME MINATO-KUTOKYO 106-8620, JAPAN ",NA,4,NOS,692.173,17.99998107,2768.69,692.17,Delhi Air,Japan,4,NOS,57298,INR,489.38,3258.07,Jun-2023,85,8525,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,MASAKI  ZENKO,NA,NA,NA,HC,Air,Not Available,"Transmission apparatus for radio-telephony, radio-telegraph, radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; Television cameras; still-mage video cameras and other video camer",FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOME MINATO-KUTOKYO 106 - 8620 TOKYO   ",NA,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,41310545
19,05-06-2023,85258900,16642965 FUJIFILM DIGITAL CAMERA X100V SILVER ETA SD-20200100418 BIS R-41202487 ,FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOME MINATO-KUTOKYO 106-8620, JAPAN ",NA,2,NOS,692.175,18.00002351,1384.35,692.18,Delhi Air,Japan,2,NOS,57298,INR,244.69,1629.04,Jun-2023,85,8525,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,MASAKI  ZENKO,NA,NA,NA,HC,Air,Not Available,"Transmission apparatus for radio-telephony, radio-telegraph, radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; Television cameras; still-mage video cameras and other video camer",FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOME MINATO-KUTOKYO 106 - 8620 TOKYO   ",NA,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,41310546
